pT(GeV)	dN/dpTdy(GeV^-1)-central	dN/dpTdy(GeV^-1)-up	dN/dpTdy(GeV^-1)-low	
0.5	0.00020456649284657583	0.0002582184144459789	0.00015267028481677752
1.5	0.00043155713629666596	0.0005427944207110689	0.0003241317018781406
2.5	0.0003522343120880484	0.0004394906496076387	0.00026740252142786
3.5	0.0001936650443356923	0.0002385720466441259	0.00014961313185304125
4.5	0.00009641149842923304	0.00011679960581295468	0.00007603152436655249
5.5	0.000049706336993778804	0.00005959776720069382	0.000039886641342701254
6.5	0.000027215152559734058	0.00003227282774261935	0.000022192259908958122
7.5	0.00001559846671190395	0.0000183489561556382	0.00001284946771621875
8.5	9.2868267981452e-6	0.000010826567166123199	7.716341910750001e-6
9.5	5.716758018306558e-6	6.622841676128443e-6	4.798278357124375e-6
10.5	3.629330408873974e-6	4.184505412554584e-6	3.06997878388375e-6
11.5	2.37053422651349e-6	2.71611754680084e-6	2.0205650786812495e-6
12.5	1.5889209730257971e-6	1.810039869063252e-6	1.3614831946981248e-6
13.5	1.0901261640580751e-6	1.2353418081667e-6	9.397694219218749e-7
14.5	7.638736194598991e-7	8.63417524691884e-7	6.631295144618751e-7
15.5	5.455239e-7	6.127655e-7	4.755637e-7
