centrality(%) Raa-central	Raa-up	Raa-low
0	0.4452467978364632	0.5534669244818591	0.3401703902742265
10	0.4452467978364632	0.5534669244818591	0.3401703902742265
10	0.4668881748734743	0.5779908921772289	0.35842774127606064
20	0.4668881748734743	0.5779908921772289	0.35842774127606064
20	0.4918876905085701	0.6029314147447162	0.38223018339736936
30	0.4918876905085701	0.6029314147447162	0.38223018339736936
30	0.5276911327203689	0.6413236666385687	0.4140136702741147
40	0.5276911327203689	0.6413236666385687	0.4140136702741147
40	0.5614341904580764	0.67709344913806	0.4454201218702912
50	0.5614341904580764	0.67709344913806	0.4454201218702912
50	0.6094172598517191	0.7260336894469785	0.4901921670130603
60	0.6094172598517191	0.7260336894469785	0.4901921670130603
60	0.6626405091577431	0.778322922059464	0.5408164413059652
70	0.6626405091577431	0.778322922059464	0.5408164413059652
70	0.7022850008260447	0.8190169511526385	0.580076889450828
80	0.7022850008260447	0.8190169511526385	0.580076889450828
80	0.7557434644410376	0.8707724591077254	0.6360802790515192
90	0.7557434644410376	0.8707724591077254	0.6360802790515192
90	0.797482415167646	0.9063681149872621	0.6787427776043413
100	0.797482415167646	0.9063681149872621	0.6787427776043413
