pT(GeV)	dN/dpTdy(GeV^-1)-central	dN/dpTdy(GeV^-1)-up	dN/dpTdy(GeV^-1)-low	
0.5	0.00011016571464103012	0.00013756702777844538	0.00008382586285034938
1.5	0.00020362785310449162	0.00025273537058379415	0.00015642233963247
2.5	0.0001497257808517448	0.00018376077036734803	0.00011672885692715875
3.5	0.0000814813923642315	0.00009839979252273477	0.00006463639031527313
4.5	0.00004130032306750165	0.00004911802360731746	0.00003332431987418375
5.5	0.000020948280607836246	0.000024750587848455452	0.000017135570914979376
6.5	0.00001100199972323159	0.000012859597017956956	9.098181325469374e-6
7.5	6.00191845035645e-6	6.978220412144716e-6	5.006820087006875e-6
8.5	3.4156072434622658e-6	3.949630272785256e-6	2.8775356402662497e-6
9.5	2.0224931447280755e-6	2.3239594289032157e-6	1.7190435911475e-6
10.5	1.2420363762349682e-6	1.417717296731488e-6	1.062739556655e-6
11.5	7.88816909302301e-7	8.960611118033159e-7	6.80973206913125e-7
12.5	5.16575000461709e-7	5.82861600585844e-7	4.4835220034312495e-7
13.5	3.473375e-7	3.900036e-7	3.019775e-7
14.5	2.385741e-7	2.668662e-7	2.089696e-7
15.5	1.677718e-7	1.8726039999999997e-7	1.476998e-7
