x_min x_max val 
0.00 1.00 0.6346950822606893 
1.00 2.00 0.6120645664231738 
2.00 3.00 0.5879231496199947 
3.00 4.00 0.5808552951295108 
4.00 5.00 0.5931800468325689 
5.00 6.00 0.6108977517340692 
6.00 7.00 0.6323027650575656 
7.00 8.00 0.653418339614721 
8.00 9.00 0.6744081614939446 
9.00 10.00 0.6930650866630191 
10.00 11.00 0.7119087908521622 
11.00 12.00 0.7309961145499695 
12.00 13.00 0.7476335148875215 
13.00 14.00 0.7633413839426073 
14.00 15.00 0.7782916369595523 
15.00 16.00 0.7924877905311796 
